time,vbus,vbat,ibus,iloa,ibat
4.95,4.815887,3.519426,0.682797,0.232285,0.587074
4.966667,4.811051,3.520298,0.688288,0.232759,0.597126
4.983333,4.812594,3.520861,0.691875,0.231229,0.604017
5,4.815132,3.521116,0.695127,0.232273,0.604263
5.016667,4.815572,3.521492,0.694808,0.22942,0.608501
5.033333,4.814593,3.521669,0.69596,0.229943,0.610978
5.05,4.814409,3.52177,0.696905,0.231292,0.61139
5.066667,4.813503,3.521892,0.695256,0.229782,0.612317
5.083333,4.812488,3.521654,0.690405,0.230278,0.605375
5.1,4.815221,3.520858,0.687278,0.232772,0.593512
5.116667,4.815226,3.520534,0.680866,0.231131,0.586157
5.133333,4.810803,3.52033,0.676697,0.231041,0.588143
5.15,4.814088,3.519367,0.667983,0.230915,0.570807
5.166667,4.814213,3.51832,0.658437,0.236437,0.553557
5.183333,4.814342,3.517626,0.649279,0.2312,0.540387
5.2,4.812903,3.516616,0.638548,0.2322,0.526235
5.216667,4.812364,3.515533,0.628724,0.233622,0.513639
5.233333,4.811941,3.514145,0.61465,0.232224,0.493277
5.25,4.815034,3.512752,0.598283,0.229676,0.473072
5.266667,4.815264,3.511409,0.579697,0.22998,0.45399
5.283333,4.817698,3.509812,0.565615,0.231025,0.430268
5.3,4.813477,3.508049,0.552399,0.233293,0.408226
5.316667,4.812387,3.506001,0.533636,0.238357,0.381461
5.333333,4.815335,3.504211,0.513522,0.23215,0.352268
5.35,4.814399,3.502243,0.488109,0.23208,0.325252
5.366667,4.817274,3.500092,0.470117,0.232812,0.297262
5.383333,4.813771,3.498434,0.456955,0.235384,0.277634
5.4,4.814275,3.498309,0.45717,0.23442,0.278314
5.416667,4.815248,3.499312,0.466054,0.234601,0.293049
5.433333,4.818251,3.500363,0.475959,0.230836,0.303224
5.45,4.814302,3.501265,0.483647,0.233033,0.316422
5.466667,4.812684,3.502164,0.494546,0.234729,0.33107
5.483333,4.812789,3.502896,0.504318,0.235497,0.34262
5.5,4.815106,3.503257,0.505825,0.234078,0.348159
5.516667,4.814975,3.503662,0.509895,0.234843,0.350906
5.533333,4.815376,3.50435,0.514882,0.232307,0.356978
5.55,4.813948,3.504368,0.517469,0.233231,0.360809
5.566667,4.815918,3.504415,0.516975,0.232938,0.365688
5.583333,4.812703,3.504559,0.516709,0.234555,0.36426
5.6,4.817564,3.504619,0.513361,0.230827,0.362991
5.616667,4.815722,3.504009,0.509879,0.231587,0.35405
5.633333,4.816043,3.50364,0.508895,0.232971,0.349313
5.65,4.813908,3.503041,0.505447,0.23607,0.342038
5.666667,4.811773,3.502443,0.496414,0.232967,0.333777
5.683333,4.815408,3.50171,0.484936,0.23052,0.321291
5.7,4.818437,3.500622,0.475977,0.235609,0.306475
5.716667,4.817102,3.499405,0.468259,0.236755,0.290783
5.733333,4.813667,3.498336,0.45656,0.234204,0.279896
5.75,4.812271,3.497037,0.445558,0.23764,0.262442
5.766667,4.8194,3.495609,0.432508,0.234463,0.237388
5.783333,4.816982,3.494335,0.414772,0.231926,0.221125
5.8,4.814568,3.492706,0.400322,0.234312,0.200906
5.816667,4.81415,3.490773,0.385358,0.23547,0.176453
5.833333,4.817343,3.489214,0.36752,0.235288,0.153285
5.85,4.816671,3.485046,0.345344,0.254244,0.095729
5.866667,4.819912,3.481027,0.327743,0.27501,0.038638
5.883333,4.816761,3.480759,0.329585,0.275223,0.036513
5.9,4.814829,3.482634,0.346519,0.274441,0.070298
5.916667,4.814049,3.484438,0.360879,0.274129,0.093188
5.933333,4.816974,3.485826,0.373696,0.268796,0.11203
5.95,4.815264,3.487338,0.387897,0.271218,0.13462
5.966667,4.815192,3.488461,0.402764,0.272208,0.15197
5.983333,4.814068,3.489331,0.417643,0.272961,0.16698
6,4.81298,3.49039,0.42725,0.276748,0.181393
6.016667,4.812107,3.491372,0.435698,0.273231,0.195054
6.033333,4.815936,3.491824,0.443294,0.279396,0.196099
6.05,4.816194,3.492815,0.450969,0.275625,0.212604
6.066667,4.815546,3.493607,0.46147,0.271733,0.226524
6.083333,4.814692,3.493927,0.463285,0.275841,0.229962
6.1,4.815171,3.494278,0.464541,0.274305,0.235192
6.116667,4.818867,3.49477,0.47026,0.271631,0.241446
6.133333,4.81989,3.494801,0.469431,0.274626,0.238273
6.15,4.814507,3.494793,0.47277,0.275622,0.241071
6.166667,4.815107,3.494539,0.469366,0.275023,0.237551
6.183333,4.814551,3.494401,0.464488,0.272013,0.23366
6.2,4.817858,3.494133,0.461374,0.27139,0.22993
6.216667,4.816111,3.493566,0.459168,0.276147,0.220641
6.233333,4.815709,3.492907,0.452334,0.276434,0.213707
6.25,4.813177,3.4922,0.445131,0.275308,0.20341
6.266667,4.813325,3.491379,0.434466,0.27579,0.190272
6.283333,4.816241,3.490496,0.425681,0.272767,0.178134
6.3,4.816998,3.489552,0.411969,0.269947,0.167035
6.316667,4.813356,3.489432,0.412703,0.270899,0.169383
6.333333,4.812777,3.490871,0.431259,0.273872,0.189637
6.35,4.814249,3.49504,0.451252,0.250296,0.248137
6.366667,4.816834,3.499176,0.469792,0.230494,0.301333
6.383333,4.815164,3.501067,0.491076,0.232624,0.327792
6.4,4.816034,3.502773,0.510247,0.234622,0.35453
6.416667,4.813941,3.504685,0.529505,0.234913,0.378118
6.433333,4.811705,3.506549,0.548218,0.232887,0.403398
6.45,4.817806,3.508151,0.559614,0.234172,0.423001
6.466667,4.816486,3.509684,0.575027,0.233328,0.445482
6.483333,4.812453,3.51119,0.59296,0.234681,0.465081
6.5,4.812682,3.512496,0.604818,0.235563,0.483441
6.516667,4.812883,3.514026,0.618191,0.235048,0.502984
6.533333,4.816797,3.515257,0.625634,0.232595,0.516343
6.55,4.813928,3.516299,0.63907,0.229683,0.529025
6.566667,4.812454,3.517249,0.649766,0.234127,0.537847
6.583333,4.812821,3.518022,0.655715,0.234663,0.549584
6.6,4.815536,3.518708,0.660853,0.234969,0.558135
6.616667,4.817312,3.519271,0.664116,0.233448,0.563064
6.633333,4.818294,3.519774,0.669272,0.2333,0.566404
6.65,4.81472,3.52029,0.670782,0.234003,0.572807
6.666667,4.810422,3.52057,0.672746,0.235296,0.577148
6.683333,4.812434,3.520816,0.672897,0.233473,0.57617
6.7,4.815186,3.520689,0.669744,0.231641,0.573145
6.716667,4.814627,3.520589,0.669833,0.234232,0.571832
6.733333,4.815634,3.520363,0.665877,0.231982,0.56659
6.75,4.814585,3.519993,0.660059,0.230394,0.557762
6.766667,4.813368,3.519408,0.654049,0.237902,0.550709
6.783333,4.816272,3.518745,0.644408,0.233714,0.538548
6.8,4.814327,3.518361,0.638905,0.23246,0.53053
6.816667,4.814232,3.517142,0.629345,0.23535,0.513093
6.833333,4.812751,3.516115,0.62012,0.236374,0.50009
