time,vbus,vbat,ibus,iloa,ibat
4.7,4.835489,3.548195,0.224318,0.172141,0.038001
4.716667,4.833954,3.54783,0.221608,0.175779,0.032987
4.733333,4.835285,3.547446,0.221023,0.174612,0.033521
4.75,4.834422,3.547066,0.219388,0.17438,0.030863
4.766667,4.830047,3.552292,0.213845,0.134381,0.082933
4.783333,4.833263,3.551997,0.212189,0.136433,0.081776
4.8,4.839835,3.551672,0.208174,0.131978,0.074168
4.816667,4.836396,3.551283,0.207082,0.132915,0.074034
4.833333,4.834576,3.550979,0.207581,0.13603,0.070275
4.85,4.836447,3.550584,0.202973,0.13416,0.067761
4.866667,4.838253,3.550218,0.200983,0.137134,0.062139
4.883333,4.83607,3.549895,0.198606,0.133836,0.059913
4.9,4.83727,3.549545,0.195464,0.134352,0.057681
4.916667,4.834691,3.549153,0.194859,0.133198,0.053211
4.933333,4.834011,3.54885,0.193246,0.135174,0.050612
4.95,4.833754,3.548431,0.187975,0.134516,0.045634
4.966667,4.835007,3.54816,0.184809,0.136019,0.044479
4.983333,4.834222,3.547703,0.184064,0.133936,0.042167
5,4.832311,3.547404,0.180059,0.134821,0.036066
5.016667,4.836112,3.54703,0.177625,0.134557,0.034182
5.033333,4.834833,3.546634,0.177823,0.135233,0.032374
5.05,4.835536,3.546306,0.174599,0.135444,0.030408
5.066667,4.833801,3.545914,0.17409,0.133475,0.02505
5.083333,4.834457,3.545517,0.170551,0.133297,0.018654
5.1,4.834482,3.545116,0.168487,0.132392,0.019565
5.116667,4.836215,3.544826,0.163238,0.132383,0.016486
5.133333,4.835508,3.544414,0.163397,0.136711,0.011929
5.15,4.835708,3.544045,0.160268,0.135966,0.004929
5.166667,4.833783,3.543674,0.15755,0.132664,0.004656
5.183333,4.834325,3.543299,0.156415,0.132767,-0.001846
5.2,4.835416,3.54286,0.153788,0.133586,-0.002056
5.216667,4.834896,3.542521,0.148435,0.13459,-0.005632
5.233333,4.835887,3.542102,0.147591,0.13368,-0.010642
